Comment,User,User ID,Video Title,Video Link
Jadu gar,Dpxy,UCRFgZVXXx1B07WSiOw78fMA,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Bhai bhagwan nik le ap to h !,Arpit Gupta,UCsseb-PvIr5Bo7l07G_VCMQ,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Marvel's explanation sir never forget this concept 👍,Gadugu Ganesh,UC-AjCzu6ANQkLUqEuD4-s4w,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Thanks a lot sir . Great Explanation .,Rajeshwar Paul Gaming,UCBhKNC7Q5rFQoN676fF5Ybw,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
You need to improvement,it's_yakub,UCMd7M8QVzr1XtiKMsv1_qQA,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
You explained in a very interesting way . Keep doing it . I want to offer my gratitude from Pakistan .,Umar Murad,UCYQZi6D4vkjgOPC4uSRGlOA,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
thank you sir,Jelly fish,UCMgPbrfR2oCzrpqyMrjyX4w,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
"smooth and clean , just awesome",Lahane Smit,UCsfThNRDYd1JTQ_lASu2BZw,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Sab upar se ja raha h,SAMEER**MANSURI**KHANDWA,UC8Th2xoQ13d5hBVI2d2cANA,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
🔥🔥🔥🔥🔥,Ananya Dubey,UCn79DcXUsdklLsz5QDZIeJQ,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
thank you,Cooking with Alia,UCmxnbJOGbD9BMZXqBsNvjLQ,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Thanks a lot realy . helped a lot,Charu Vashisht1312,UCTkjw9qPfmJaEh5xKL0Wt5g,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Sir can you make a video on classification and regression techniques .,Aiman bhat,UCEGxBp7YUcLKdx1iJgX-fJQ,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
this subject is more conceptual than DA subject,HARSH RAJ,UC4M8DfL2oswmK6w7r3cbKbA,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Thank you Sir 🙌 🙌,Rahul Bhadoria,UCxTtY6ivmg1GeAG4G1LRgYw,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Thanks bro for so much content in ample of time,SUJAY,UCV_ED0LWYdT9JCO3RIpwKTA,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
Super fast learning ❤️,MUMBAI ka CHALLENGE,UCVlvbVTtmdGLZfaffB4GgGw,Decision Tree Important Points ll Machine Learning ll DMW ll Data Analytics ll Explained in Hindi,https://www.youtube.com/watch?v=oeKBs41MkNo
